Battle,Position,Enemy,Lvl,HP,XP,GP,Atk Mult,Hit%,Atk,Def Mult,Eva%,Def,MDef Mult,MEv%,MDef,Min Spd,Max Spd,Spell Power,Values set/checked by script ->,Script value 2,Script Value 3,Script Value 4
antlion,antlion_slot,Antlion,2,1000,1500,800,2,85,11,0,0,2,2,60,8,5,5,,,,,
antlion,asura_slot,Antlion,63,23000,20000,0,10,99,134,0,0,0,8,80,37,66,66,,,,,
antlion,bahamut_slot,Antlion,47,37000,35000,0,13,99,174,0,0,1,1,60,8,27,27,,,,,
antlion,baigan_slot,Antlion,9,4200,4820,3000,4,99,52,0,0,0,3,60,11,8,8,,,,,
antlion,calbrena_slot,Antlion,47,8524,21000,8000,7,99,96,0,0,2,6,60,25,11,11,,,,,
antlion,cpu_slot,Antlion,48,24000,150000,10333,13,99,174,0,0,4,8,50,38,38,38,,,,,
antlion,darkelf_slot,Antlion,19,5000,7000,9000,4,99,54,0,0,3,99,99,254,11,11,,,,,
antlion,darkimp_slot,Antlion,16,597,5820,135,5,70,56,0,0,0,0,0,0,18,21,,,,,
antlion,dlunar_slot,Antlion,99,42000,100000,0,11,85,144,0,0,4,10,80,54,30,30,,,,,
antlion,dmist_slot,Antlion,10,465,700,200,2,90,16,0,0,5,7,80,31,5,5,,,,,
antlion,elements_slot,Antlion,79,65000,102500,20000,10,80,128,0,0,3,3,60,4,89,89,,,,,
antlion,evilwall_slot,Antlion,37,19000,23000,8000,6,90,84,0,0,2,7,80,29,66,66,,,,,
antlion,fabulgauntlet_slot,Antlion,15,1880,5590,1425,3,90,36,0,0,2,3,60,11,6,9,,,,,
antlion,golbez_slot,Antlion,31,3002,20000,11000,5,99,68,0,0,0,0,0,0,27,27,,,,,
antlion,guard_slot,Antlion,18,400,1440,1000,3,99,46,0,0,1,3,40,14,11,14,,,,,
antlion,kainazzo_slot,Antlion,16,4000,5500,4000,3,99,44,0,0,2,10,50,48,15,15,,,,,
antlion,karate_slot,Antlion,31,4000,0,0,6,99,86,0,0,0,0,0,0,4,7,,,,,
antlion,kingqueen_slot,Antlion,15,6000,0,0,9,85,116,0,0,0,0,0,0,53,53,,,,,
antlion,leviatan_slot,Antlion,79,35000,28000,0,13,99,174,0,0,5,10,80,47,53,53,,,,,
antlion,lugae_slot,Antlion,25,18943,26020,11000,6,99,86,0,0,1,0,0,0,27,27,,,,,
antlion,magus_slot,Antlion,16,9000,9000,9000,5,80,60,0,0,2,3,60,11,7,7,,,,,
antlion,milon_slot,Antlion,15,2780,3800,3300,1,75,19,0,0,2,0,0,0,8,8,,,,,
antlion,milonz_slot,Antlion,15,3000,4000,3000,3,99,44,0,0,1,6,40,22,9,9,,,,,
antlion,mirrorcecil_slot,Antlion,17,1000,0,0,3,99,46,0,0,0,3,60,11,5,5,,,,,
antlion,mombomb_slot,Antlion,15,1250,4360,1755,3,80,30,0,0,0,1,40,9,7,7,,,,,
