level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
20,26754,21,9,24,5,5,0,0,0,0
21,32099,22,10,25,5,5,64,72,0,0
22,38219,23,10,26,5,5,64,72,0,0
23,45186,24,10,27,5,5,72,81,0,0
24,53077,25,11,28,5,5,72,81,0,0
25,61970,27,11,30,5,5,72,81,0,0
26,71948,28,12,30,5,5,80,90,0,0
27,83097,29,12,31,5,5,80,90,0,0
28,95506,30,12,32,5,5,80,90,0,0
29,109267,31,13,33,5,5,80,90,0,0
30,124477,33,13,35,5,5,88,99,0,0
31,141234,34,13,35,5,5,88,99,0,0
32,159640,35,14,36,5,5,88,99,0,0
33,179801,36,14,37,5,5,96,108,0,0
34,201826,38,14,39,5,5,96,108,0,0
35,225827,39,15,39,5,5,96,108,0,0
36,251919,40,15,40,5,5,104,117,0,0
37,280222,42,15,42,5,5,104,117,0,0
38,310857,43,16,42,5,5,104,117,0,0
39,343950,44,16,43,5,5,112,126,0,0
40,379630,46,16,45,5,5,112,126,0,0
41,418028,47,17,45,5,5,112,126,0,0
42,459280,49,17,47,5,5,120,135,0,0
43,503524,50,18,47,5,5,120,135,0,0
44,550903,52,18,49,5,5,120,135,0,0
45,601561,53,19,49,5,5,120,135,0,0
46,655647,55,19,51,5,5,128,144,0,0
47,713313,56,20,51,5,5,128,144,0,0
48,774714,58,20,53,5,5,128,144,0,0
49,840008,59,21,53,5,5,136,153,0,0
50,909358,61,21,55,5,5,136,153,0,0
51,982928,62,21,56,5,5,136,153,0,0
52,1060886,63,22,57,5,5,136,153,0,0
53,1143404,64,22,58,5,5,136,153,0,0
54,1230657,65,23,59,5,5,136,153,0,0
55,1322823,66,23,60,5,5,136,153,0,0
56,1420083,67,23,61,5,5,136,153,0,0
57,1522623,68,24,62,5,5,136,153,0,0
58,1630630,69,24,63,5,5,136,153,0,0
59,1744296,70,25,64,5,5,136,153,0,0
60,1863816,71,25,65,5,5,144,162,0,0
61,1989387,71,25,66,5,5,144,162,0,0
62,2121211,72,26,67,5,5,144,162,0,0
63,2259492,73,26,68,5,5,144,162,0,0
64,2404439,73,27,69,5,5,144,162,0,0
65,2556262,74,27,70,5,5,144,162,0,0
66,2715176,74,27,71,5,5,144,162,0,0
67,2881399,75,28,72,5,5,144,162,0,0
68,3055152,76,28,73,5,5,144,162,0,0
69,3236659,76,29,74,5,5,144,162,0,0
70,3426149,77,29,75,5,5,152,171,0,0
71,3615639,77,29,75,5,5,152,171,0,0
72,3805129,77,29,75,5,5,152,171,0,0
73,3994619,77,29,75,5,5,152,171,0,0
74,4184109,77,29,75,5,5,152,171,0,0
75,4373599,77,29,75,5,5,152,171,0,0
76,4563089,77,29,75,5,5,152,171,0,0
77,4752579,77,29,75,5,5,152,171,0,0
78,4942069,77,29,75,5,5,152,171,0,0
79,5131559,77,29,75,5,5,152,171,0,0
80,5321049,77,29,75,5,5,152,171,0,0
81,5510539,77,29,75,5,5,152,171,0,0
82,5700029,77,29,75,5,5,152,171,0,0
83,5889519,77,29,75,5,5,152,171,0,0
84,6079009,77,29,75,5,5,152,171,0,0
85,6268499,77,29,75,5,5,152,171,0,0
86,6457989,77,29,75,5,5,152,171,0,0
87,6647479,77,29,75,5,5,152,171,0,0
88,6836969,77,29,75,5,5,152,171,0,0
89,7026459,77,29,75,5,5,152,171,0,0
90,7215949,77,29,75,5,5,152,171,0,0
91,7405439,77,29,75,5,5,152,171,0,0
92,7594929,77,29,75,5,5,152,171,0,0
93,7784419,77,29,75,5,5,152,171,0,0
94,7973909,77,29,75,5,5,152,171,0,0
95,8163399,77,29,75,5,5,152,171,0,0
96,8352889,77,29,75,5,5,152,171,0,0
97,8542379,77,29,75,5,5,152,171,0,0
98,8731869,77,29,75,5,5,152,171,0,0
99,8921359,77,29,75,5,5,152,171,0,0
