level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
25,64777,20,23,17,12,12,0,0,0,0
26,74161,21,24,18,12,13,50,56,4,4
27,84565,22,25,19,13,13,50,56,4,4
28,96062,23,25,19,13,13,58,65,4,4
29,108730,24,26,20,14,13,58,65,4,4
30,122650,25,27,21,14,14,58,65,4,4
31,137903,26,27,21,15,14,58,65,4,4
32,154576,27,28,22,15,14,58,65,4,4
33,172757,28,29,23,16,15,58,65,4,4
34,192536,29,30,23,16,15,58,65,4,4
35,214008,30,30,24,17,15,58,65,4,4
36,237269,31,31,25,17,16,58,65,4,4
37,262419,32,32,25,18,16,58,65,4,4
38,289560,33,32,26,18,16,58,65,4,4
39,318796,34,33,27,19,16,66,74,4,4
40,350236,35,34,27,19,17,66,74,4,4
41,383989,36,34,28,20,17,66,74,4,4
42,420169,37,35,29,20,17,66,74,4,4
43,458892,38,36,29,21,18,66,74,4,4
44,500276,39,36,30,21,18,66,74,4,4
45,544443,40,37,31,22,18,66,74,4,4
46,591517,41,38,31,22,19,74,83,4,4
47,641625,42,38,32,23,19,74,83,4,4
48,694897,43,39,33,23,19,74,83,4,4
49,751465,44,40,33,24,19,74,83,4,4
50,811465,45,41,34,24,20,74,83,4,4
51,875034,46,41,35,25,20,74,83,4,4
52,942313,47,42,35,25,20,74,83,4,4
53,1013446,47,43,36,26,20,74,83,4,4
54,1088579,48,43,37,26,21,74,83,4,4
55,1167861,49,44,37,27,21,82,92,4,4
56,1251444,49,45,38,27,21,82,92,4,4
57,1339482,50,45,39,28,21,82,92,4,4
58,1432133,51,46,39,28,22,82,92,4,4
59,1529557,51,47,40,29,22,82,92,4,4
60,1631917,52,47,41,29,22,90,101,4,4
61,1739378,53,48,41,30,22,90,101,4,4
62,1852108,53,49,42,30,23,90,101,4,4
63,1970279,54,49,43,31,23,90,101,4,4
64,2094065,55,50,43,31,23,90,101,4,4
65,2223642,55,51,44,32,23,90,101,4,4
66,2359190,56,51,45,32,24,98,110,4,4
67,2500890,57,52,45,33,24,98,110,4,4
68,2648928,57,53,46,33,24,98,110,4,4
69,2803492,58,53,47,34,24,98,110,4,4
70,2964772,59,54,47,34,25,98,110,4,4
71,3126052,59,54,47,34,25,98,110,4,4
72,3287332,59,54,47,34,25,98,110,4,4
73,3448612,59,54,47,34,25,98,110,4,4
74,3609892,59,54,47,34,25,98,110,4,4
75,3771172,59,54,47,34,25,98,110,4,4
76,3932452,59,54,47,34,25,98,110,4,4
77,4093732,59,54,47,34,25,98,110,4,4
78,4255012,59,54,47,34,25,98,110,4,4
79,4416292,59,54,47,34,25,98,110,4,4
80,4577572,59,54,47,34,25,98,110,4,4
81,4738852,59,54,47,34,25,98,110,4,4
82,4900132,59,54,47,34,25,98,110,4,4
83,5061412,59,54,47,34,25,98,110,4,4
84,5222692,59,54,47,34,25,98,110,4,4
85,5383972,59,54,47,34,25,98,110,4,4
86,5545252,59,54,47,34,25,98,110,4,4
87,5706532,59,54,47,34,25,98,110,4,4
88,5867812,59,54,47,34,25,98,110,4,4
89,6029092,59,54,47,34,25,98,110,4,4
90,6190372,59,54,47,34,25,98,110,4,4
91,6351652,59,54,47,34,25,98,110,4,4
92,6512932,59,54,47,34,25,98,110,4,4
93,6674212,59,54,47,34,25,98,110,4,4
94,6835492,59,54,47,34,25,98,110,4,4
95,6996772,59,54,47,34,25,98,110,4,4
96,7158052,59,54,47,34,25,98,110,4,4
97,7319332,59,54,47,34,25,98,110,4,4
98,7480612,59,54,47,34,25,98,110,4,4
99,7641892,59,54,47,34,25,98,110,4,4
