level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
5,388,6,9,2,7,7,0,0,0,0
6,613,6,10,2,7,7,10,11,0,0
7,921,6,10,3,8,8,10,11,0,0
8,1331,7,11,3,8,8,10,11,0,0
9,1868,7,11,3,8,8,10,11,0,0
10,2558,8,12,4,9,9,10,11,0,0
11,3430,8,12,4,9,9,15,16,0,0
12,4516,9,13,5,9,9,15,16,0,0
13,5852,10,13,5,10,10,15,16,0,0
14,7476,10,14,5,10,10,15,16,0,0
15,9429,11,14,6,10,10,15,16,0,0
16,11756,11,15,6,11,11,15,16,0,0
17,14503,12,15,7,11,11,15,16,0,0
18,17720,13,16,7,11,11,15,16,0,0
19,21460,13,16,7,12,12,15,16,0,0
20,25780,14,17,8,12,12,20,22,0,0
21,30737,15,17,8,12,12,20,22,0,0
22,36394,15,18,9,13,13,20,22,0,0
23,42815,16,18,9,13,13,20,22,0,0
24,50068,17,19,9,13,13,20,22,0,0
25,58224,17,19,10,14,14,20,22,0,0
26,67356,18,20,10,14,14,20,22,0,0
27,77540,19,20,11,14,14,20,22,0,0
28,88856,19,21,11,15,15,20,22,0,0
29,101386,20,21,11,15,15,20,22,0,0
30,115216,21,22,12,15,15,25,28,0,0
31,130433,22,22,12,16,16,25,28,0,0
32,147129,22,23,13,16,16,25,28,0,0
33,165398,23,23,13,16,16,25,28,0,0
34,185336,24,24,13,17,17,25,28,0,0
35,207044,25,24,14,17,17,25,28,0,0
36,230625,26,25,14,17,17,25,28,0,0
37,256184,26,25,15,18,18,25,28,0,0
38,283831,27,26,15,18,18,25,28,0,0
39,313677,28,26,15,18,18,25,28,0,0
40,345837,29,27,16,19,19,30,33,0,0
41,380428,30,27,16,19,19,30,33,0,0
42,417571,31,28,17,19,19,30,33,0,0
43,457389,31,28,17,20,20,30,33,0,0
44,500009,32,29,17,20,20,30,33,0,0
45,545560,33,29,18,20,20,30,33,0,0
46,594174,34,30,18,21,21,30,33,0,0
47,645987,35,30,19,21,21,30,33,0,0
48,701137,36,31,19,21,21,30,33,0,0
49,759765,37,31,19,22,22,30,33,0,0
50,822015,38,32,20,22,22,35,39,0,0
51,888033,38,32,20,22,22,80,90,0,0
52,957970,38,33,21,23,23,80,90,0,0
53,1031979,38,33,21,23,23,80,90,0,0
54,1110216,39,34,21,23,23,80,90,0,0
55,1192839,39,34,21,23,23,80,90,0,0
56,1280010,39,35,21,23,23,80,90,0,0
57,1371894,39,35,22,23,23,80,90,0,0
58,1468658,39,36,22,24,24,80,90,0,0
59,1570473,40,36,22,24,24,80,90,0,0
60,1677513,40,37,23,24,24,80,90,0,0
61,1789953,40,37,23,25,25,88,99,0,0
62,1907973,40,38,24,25,25,88,99,0,0
63,2031756,40,38,24,25,25,88,99,0,0
64,2161486,41,39,24,26,26,88,99,0,0
65,2297352,41,39,24,26,26,88,99,0,0
66,2439545,41,39,24,26,26,88,99,0,0
67,2588258,41,39,25,27,27,88,99,0,0
68,2743689,41,40,25,27,27,88,99,0,0
69,2906038,42,40,25,27,27,88,99,0,0
70,3075508,42,41,26,28,28,88,99,0,0
71,3244978,42,41,26,28,28,88,99,0,0
72,3414448,42,41,26,28,28,88,99,0,0
73,3583918,42,41,26,28,28,88,99,0,0
74,3753388,42,41,26,28,28,88,99,0,0
75,3922858,42,41,26,28,28,88,99,0,0
76,4092328,42,41,26,28,28,88,99,0,0
77,4261798,42,41,26,28,28,88,99,0,0
78,4431268,42,41,26,28,28,88,99,0,0
79,4600738,42,41,26,28,28,88,99,0,0
80,4770208,42,41,26,28,28,88,99,0,0
81,4939678,42,41,26,28,28,88,99,0,0
82,5109148,42,41,26,28,28,88,99,0,0
83,5278618,42,41,26,28,28,88,99,0,0
84,5448088,42,41,26,28,28,88,99,0,0
85,5617558,42,41,26,28,28,88,99,0,0
86,5787028,42,41,26,28,28,88,99,0,0
87,5956498,42,41,26,28,28,88,99,0,0
88,6125968,42,41,26,28,28,88,99,0,0
89,6295438,42,41,26,28,28,88,99,0,0
90,6464908,42,41,26,28,28,88,99,0,0
91,6634378,42,41,26,28,28,88,99,0,0
92,6803848,42,41,26,28,28,88,99,0,0
93,6973318,42,41,26,28,28,88,99,0,0
94,7142788,42,41,26,28,28,88,99,0,0
95,7312258,42,41,26,28,28,88,99,0,0
96,7481728,42,41,26,28,28,88,99,0,0
97,7651198,42,41,26,28,28,88,99,0,0
98,7820668,42,41,26,28,28,88,99,0,0
99,7990138,42,41,26,28,28,88,99,0,0
