level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
50,1007865,10,20,10,40,40,0,0,0,0
51,1090108,10,20,10,40,40,20,22,0,0
52,1177284,10,20,10,40,40,20,22,0,0
53,1269587,10,20,10,40,40,20,22,0,0
54,1367214,10,20,10,40,40,20,22,0,0
55,1470366,10,20,10,40,40,20,22,0,0
56,1579247,10,20,10,40,40,20,22,0,0
57,1694066,10,20,10,40,40,20,22,0,0
58,1815035,10,20,10,40,40,20,22,0,0
59,1942369,10,20,10,40,40,20,22,0,0
60,2076289,10,20,10,40,40,20,22,0,0
61,2217017,10,20,10,40,40,20,22,0,0
62,2364780,10,20,10,40,40,20,22,0,0
63,2519809,10,20,10,40,40,20,22,0,0
64,2682338,10,20,10,40,40,20,22,0,0
65,2852605,10,20,10,40,40,20,22,0,0
66,3030852,10,20,10,40,40,20,22,0,0
67,3217325,10,20,10,40,40,20,22,0,0
68,3412272,10,20,10,40,40,20,22,0,0
69,3615947,10,20,10,40,40,20,22,0,0
70,3828607,10,20,10,40,40,20,22,8,9
71,4041267,10,20,10,40,40,20,22,8,9
72,4253927,10,20,10,40,40,20,22,8,9
73,4466587,10,20,10,40,40,20,22,8,9
74,4679247,10,20,10,40,40,20,22,8,9
75,4891907,10,20,10,40,40,20,22,8,9
76,5104567,10,20,10,40,40,20,22,8,9
77,5317227,10,20,10,40,40,20,22,8,9
78,5529887,10,20,10,40,40,20,22,8,9
79,5742547,10,20,10,40,40,20,22,8,9
80,5955207,10,20,10,40,40,20,22,8,9
81,6167867,10,20,10,40,40,20,22,8,9
82,6380527,10,20,10,40,40,20,22,8,9
83,6593187,10,20,10,40,40,20,22,8,9
84,6805847,10,20,10,40,40,20,22,8,9
85,7018507,10,20,10,40,40,20,22,8,9
86,7231167,10,20,10,40,40,20,22,8,9
87,7443827,10,20,10,40,40,20,22,8,9
88,7656487,10,20,10,40,40,20,22,8,9
89,7869147,10,20,10,40,40,20,22,8,9
90,8081807,10,20,10,40,40,20,22,8,9
91,8294467,10,20,10,40,40,20,22,8,9
92,8507127,10,20,10,40,40,20,22,8,9
93,8719787,10,20,10,40,40,20,22,8,9
94,8932447,10,20,10,40,40,20,22,8,9
95,9145107,10,20,10,40,40,20,22,8,9
96,9357767,10,20,10,40,40,20,22,8,9
97,9570427,10,20,10,40,40,20,22,8,9
98,9783087,10,20,10,40,40,20,22,8,9
99,9995747,10,20,10,40,40,20,22,8,9
