level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
1,0,10,13,10,5,8,0,0,0,0
2,23,10,13,10,5,8,16,18,4,4
3,65,10,13,10,6,8,16,18,4,4
4,135,11,13,11,6,9,16,18,4,4
5,244,11,14,11,6,9,16,18,4,4
6,407,11,14,11,7,10,16,18,4,4
7,640,12,14,12,7,11,16,18,4,4
8,964,12,14,12,8,12,16,18,4,4
9,1402,13,14,13,8,12,16,18,4,4
10,1980,13,15,13,9,13,24,27,4,4
11,2726,14,15,14,9,13,24,27,4,4
12,3671,14,15,14,9,14,24,27,4,4
13,4851,15,15,15,10,14,24,27,4,4
14,6302,15,15,15,10,14,24,27,4,4
15,8065,16,15,16,10,15,24,27,4,4
16,10182,16,15,16,10,15,24,27,4,4
17,12700,17,15,17,10,16,24,27,4,4
18,15667,18,15,18,11,16,24,27,4,4
19,19135,19,15,19,11,16,24,27,4,4
20,23159,20,16,20,12,17,24,27,4,4
21,27795,21,16,21,12,17,32,36,4,4
22,33104,22,17,21,13,18,32,36,4,4
23,39149,24,17,23,13,18,32,36,4,4
24,45996,25,18,24,14,18,32,36,4,4
25,53714,26,18,25,14,19,32,36,4,4
26,62375,27,19,26,15,19,32,36,4,4
27,72053,28,19,27,15,20,32,36,4,4
28,82826,29,20,27,16,20,32,36,4,4
29,94773,31,20,29,16,20,32,36,4,4
30,107979,32,21,30,17,21,32,36,4,4
31,122529,33,21,31,17,21,40,45,4,4
32,138512,34,22,31,18,22,48,54,4,4
33,156019,36,22,33,18,22,56,63,4,4
34,175146,37,23,33,19,23,64,72,4,4
35,195990,39,23,35,19,23,72,81,4,4
36,218651,40,24,36,20,24,72,81,4,4
37,243233,41,24,37,20,24,80,90,4,4
38,269841,42,25,37,21,25,80,90,4,4
39,298585,44,25,39,21,25,88,99,4,4
40,329577,45,26,39,22,26,88,99,4,4
41,362931,47,26,41,22,26,96,108,4,4
42,398765,48,27,41,23,27,96,108,4,4
43,437199,50,27,43,23,27,96,108,4,4
44,478356,51,28,43,24,28,96,108,4,4
45,522363,53,28,45,24,28,96,108,4,4
46,569349,54,29,45,25,29,104,117,4,4
47,619446,56,29,47,25,29,104,117,4,4
48,672788,57,30,47,26,30,104,117,4,4
49,729514,59,30,49,26,30,104,117,4,4
50,789764,60,31,49,27,31,104,117,4,4
51,853681,62,31,51,27,31,104,117,4,4
52,921411,63,32,51,28,32,104,117,4,4
53,993104,65,32,53,28,32,104,117,4,4
54,1068911,66,33,53,29,33,104,117,4,4
55,1148988,68,33,55,29,33,104,117,4,4
56,1233492,69,34,55,30,34,104,117,4,4
57,1322584,71,34,57,30,34,104,117,4,4
58,1416427,72,35,57,31,35,104,117,4,4
59,1515188,74,35,59,31,35,104,117,4,4
60,1619036,75,36,60,32,36,104,117,4,4
61,1728142,76,36,61,32,36,112,126,4,4
62,1842682,77,37,62,32,37,112,126,4,4
63,1962834,78,37,63,33,37,112,126,4,4
64,2088778,79,38,64,33,38,112,126,4,4
65,2220698,80,38,65,34,38,112,126,4,4
66,2358781,81,39,66,34,39,112,126,4,4
67,2503215,82,39,67,35,39,112,126,4,4
68,2654193,83,40,68,35,40,112,126,4,4
69,2811910,84,40,69,36,40,112,126,4,4
70,2976564,85,41,70,36,41,128,144,8,9
71,3141218,85,41,70,36,41,128,144,8,9
72,3305872,85,41,70,36,41,128,144,8,9
73,3470526,85,41,70,36,41,128,144,8,9
74,3635180,85,41,70,36,41,128,144,8,9
75,3799834,85,41,70,36,41,128,144,8,9
76,3964488,85,41,70,36,41,128,144,8,9
77,4129142,85,41,70,36,41,128,144,8,9
78,4293796,85,41,70,36,41,128,144,8,9
79,4458450,85,41,70,36,41,128,144,8,9
80,4623104,85,41,70,36,41,128,144,8,9
81,4787758,85,41,70,36,41,128,144,8,9
82,4952412,85,41,70,36,41,128,144,8,9
83,5117066,85,41,70,36,41,128,144,8,9
84,5281720,85,41,70,36,41,128,144,8,9
85,5446374,85,41,70,36,41,128,144,8,9
86,5611028,85,41,70,36,41,128,144,8,9
87,5775682,85,41,70,36,41,128,144,8,9
88,5940336,85,41,70,36,41,128,144,8,9
89,6104990,85,41,70,36,41,128,144,8,9
90,6269644,85,41,70,36,41,128,144,8,9
91,6434298,85,41,70,36,41,128,144,8,9
92,6598952,85,41,70,36,41,128,144,8,9
93,6763606,85,41,70,36,41,128,144,8,9
94,6928260,85,41,70,36,41,128,144,8,9
95,7092914,85,41,70,36,41,128,144,8,9
96,7257568,85,41,70,36,41,128,144,8,9
97,7422222,85,41,70,36,41,128,144,8,9
98,7586876,85,41,70,36,41,128,144,8,9
99,7751530,85,41,70,36,41,128,144,8,9
