level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
10,1957,8,7,6,10,15,0,0,0,0
11,2692,8,8,6,10,16,16,18,8,9
12,3624,9,8,7,10,17,16,18,8,9
13,4786,9,9,7,10,18,16,18,8,9
14,6215,9,9,7,10,19,16,18,8,9
15,7951,10,10,8,11,20,16,18,8,9
16,10036,10,10,8,11,21,24,27,8,9
17,12515,11,11,9,11,22,24,27,8,9
18,15436,11,11,9,11,23,24,27,8,9
19,18849,11,12,9,11,24,24,27,8,9
20,22809,12,12,10,12,25,24,27,8,9
21,27371,12,13,10,12,26,24,27,8,9
22,32595,13,13,11,12,27,24,27,8,9
23,38543,13,14,11,12,28,24,27,8,9
24,45280,13,14,11,12,29,32,36,8,9
25,52873,14,15,12,13,30,32,36,8,9
26,61393,14,15,12,13,31,32,36,8,9
27,70914,14,16,13,13,32,32,36,8,9
28,81511,15,16,13,13,33,32,36,8,9
29,93263,15,17,13,13,34,32,36,8,9
30,106253,15,17,14,14,35,32,36,8,9
31,120564,15,18,14,14,36,32,36,8,9
32,136284,16,18,15,14,37,40,45,8,9
33,153504,16,18,15,14,38,40,45,8,9
34,172316,16,19,15,14,39,40,45,8,9
35,192817,16,19,16,15,40,40,45,8,9
36,215105,16,19,16,15,41,40,45,8,9
37,239281,17,20,17,15,42,40,45,8,9
38,265450,17,20,17,15,43,40,45,8,9
39,293719,17,20,17,15,44,40,45,8,9
40,324199,17,21,18,16,45,48,54,8,9
41,357001,17,21,18,16,46,48,54,8,9
42,392242,17,22,19,16,47,48,54,8,9
43,430040,17,22,19,16,48,48,54,8,9
44,470516,18,22,19,16,49,48,54,8,9
45,513794,18,23,20,17,50,48,54,8,9
46,560001,18,23,20,17,51,48,54,8,9
47,609267,18,24,21,17,52,48,54,8,9
48,661725,18,24,21,17,53,56,63,8,9
49,717510,18,24,21,17,54,56,63,8,9
50,776760,19,25,22,18,55,56,63,8,9
51,839615,19,25,22,18,56,56,63,8,9
52,906220,19,26,22,18,57,56,63,8,9
53,976722,19,26,23,18,58,56,63,8,9
54,1051270,19,26,23,18,59,56,63,8,9
55,1130016,20,27,23,19,60,56,63,8,9
56,1213115,20,27,24,19,61,56,63,8,9
57,1296214,20,28,24,19,62,56,63,8,9
58,1388496,20,28,24,19,63,56,63,8,9
59,1485614,20,28,25,19,64,56,63,8,9
60,1587734,21,29,25,20,65,56,63,8,9
61,1695025,21,29,25,20,66,56,63,8,9
62,1807659,21,30,26,20,67,56,63,8,9
63,1925811,21,30,26,20,68,56,63,8,9
64,2049658,21,30,26,20,69,56,63,8,9
65,2179381,22,31,27,21,70,64,72,8,9
66,2315164,22,31,27,21,71,64,72,8,9
67,2457192,22,32,27,21,72,64,72,8,9
68,2605655,22,32,28,21,73,64,72,8,9
69,2760744,22,32,28,21,74,64,72,8,9
70,2922654,23,33,28,22,75,64,72,8,9
71,3084564,23,33,28,22,75,64,72,8,9
72,3246474,23,33,28,22,75,64,72,8,9
73,3408384,23,33,28,22,75,64,72,8,9
74,3570294,23,33,28,22,75,64,72,8,9
75,3732204,23,33,28,22,75,64,72,8,9
76,3894114,23,33,28,22,75,64,72,8,9
77,4056024,23,33,28,22,75,64,72,8,9
78,4217934,23,33,28,22,75,64,72,8,9
79,4379844,23,33,28,22,75,64,72,8,9
80,4541754,23,33,28,22,75,64,72,8,9
81,4703664,23,33,28,22,75,64,72,8,9
82,4865574,23,33,28,22,75,64,72,8,9
83,5027484,23,33,28,22,75,64,72,8,9
84,5189394,23,33,28,22,75,64,72,8,9
85,5351304,23,33,28,22,75,64,72,8,9
86,5513214,23,33,28,22,75,64,72,8,9
87,5675124,23,33,28,22,75,64,72,8,9
88,5837034,23,33,28,22,75,64,72,8,9
89,5998944,23,33,28,22,75,64,72,8,9
90,6160854,23,33,28,22,75,64,72,8,9
91,6322764,23,33,28,22,75,64,72,8,9
92,6484674,23,33,28,22,75,64,72,8,9
93,6646584,23,33,28,22,75,64,72,8,9
94,6808494,23,33,28,22,75,64,72,8,9
95,6970404,23,33,28,22,75,64,72,8,9
96,7132314,23,33,28,22,75,64,72,8,9
97,7294224,23,33,28,22,75,64,72,8,9
98,7456134,23,33,28,22,75,64,72,8,9
99,7618044,23,33,28,22,75,64,72,8,9
