level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
10,1957,7,8,5,15,10,0,0,0,0
11,2692,8,8,6,16,10,16,18,8,9
12,3624,9,8,7,17,10,16,18,8,9
13,4786,10,9,7,18,10,16,18,8,9
14,6215,11,9,8,19,10,24,27,8,9
15,7951,11,9,8,20,11,24,27,8,9
16,10036,12,9,9,21,11,24,27,8,9
17,12515,13,10,10,22,11,24,27,8,9
18,15436,14,10,10,23,11,32,36,8,9
19,18849,15,10,11,24,11,32,36,8,9
20,22809,15,11,11,25,12,32,36,8,9
21,27371,16,11,12,26,12,32,36,8,9
22,32595,16,11,13,27,12,32,36,8,9
23,38543,17,12,13,28,12,32,36,8,9
24,45280,17,12,14,29,12,32,36,8,9
25,52873,18,12,14,30,13,32,36,8,9
26,61393,18,13,15,31,13,32,36,8,9
27,70914,19,13,16,32,13,32,36,8,9
28,81511,19,13,16,33,13,32,36,8,9
29,93263,20,14,17,34,13,32,36,8,9
30,106253,20,14,17,35,14,40,45,8,9
31,120584,20,14,18,36,14,40,45,8,9
32,136304,20,15,19,37,14,40,45,8,9
33,153524,20,15,19,38,14,40,45,8,9
34,172336,21,15,20,39,14,40,45,8,9
35,192837,21,16,20,40,15,48,54,8,9
36,215125,21,16,21,41,15,48,54,8,9
37,239301,21,16,22,42,15,48,54,8,9
38,265470,21,17,22,43,15,48,54,8,9
39,293739,22,17,23,44,15,48,54,8,9
40,324219,22,17,23,45,16,48,54,8,9
41,357021,22,18,24,46,16,48,54,8,9
42,392262,22,18,25,47,16,48,54,8,9
43,430060,22,18,25,48,16,56,63,8,9
44,470536,23,19,26,49,16,56,63,8,9
45,513814,23,19,26,50,17,56,63,8,9
46,560021,23,19,27,51,17,56,63,8,9
47,609287,23,20,28,52,17,56,63,8,9
48,661745,23,20,28,53,17,56,63,8,9
49,717530,24,20,29,54,17,56,63,8,9
50,776780,24,21,29,55,18,56,63,8,9
51,839635,24,22,29,56,19,56,63,8,9
52,906240,24,23,30,57,19,56,63,8,9
53,976742,25,23,30,58,19,56,63,8,9
54,1051290,25,23,31,59,19,56,63,8,9
55,1130036,26,24,31,60,20,64,72,8,9
56,1213135,26,24,32,61,20,64,72,8,9
57,1300745,27,25,33,62,20,64,72,8,9
58,1393027,27,25,33,63,20,64,72,8,9
59,1490145,28,25,34,64,20,64,72,8,9
60,1592265,28,26,34,65,21,64,72,8,9
61,1699556,29,26,35,66,21,64,72,8,9
62,1812190,29,27,36,67,21,64,72,8,9
63,1930342,30,27,36,68,21,64,72,8,9
64,2054189,30,27,37,69,21,64,72,8,9
65,2183912,31,28,37,70,22,64,72,8,9
66,2319695,31,28,38,71,22,64,72,8,9
67,2461723,32,29,39,72,22,64,72,8,9
68,2610186,32,29,39,73,22,64,72,8,9
69,2765275,33,29,40,74,22,64,72,8,9
70,2927185,33,30,40,75,23,72,81,8,9
71,3089095,33,30,40,75,23,72,81,8,9
72,3251005,33,30,40,75,23,72,81,8,9
73,3412915,33,30,40,75,23,72,81,8,9
74,3574825,33,30,40,75,23,72,81,8,9
75,3736735,33,30,40,75,23,72,81,8,9
76,3898645,33,30,40,75,23,72,81,8,9
77,4060555,33,30,40,75,23,72,81,8,9
78,4222465,33,30,40,75,23,72,81,8,9
79,4384375,33,30,40,75,23,72,81,8,9
80,4546285,33,30,40,75,23,72,81,8,9
81,4708195,33,30,40,75,23,72,81,8,9
82,4870105,33,30,40,75,23,72,81,8,9
83,5032015,33,30,40,75,23,72,81,8,9
84,5193925,33,30,40,75,23,72,81,8,9
85,5355835,33,30,40,75,23,72,81,8,9
86,5517745,33,30,40,75,23,72,81,8,9
87,5679655,33,30,40,75,23,72,81,8,9
88,5841565,33,30,40,75,23,72,81,8,9
89,6003475,33,30,40,75,23,72,81,8,9
90,6165385,33,30,40,75,23,72,81,8,9
91,6327295,33,30,40,75,23,72,81,8,9
92,6489205,33,30,40,75,23,72,81,8,9
93,6651115,33,30,40,75,23,72,81,8,9
94,6813025,33,30,40,75,23,72,81,8,9
95,6974935,33,30,40,75,23,72,81,8,9
96,7136845,33,30,40,75,23,72,81,8,9
97,7298755,33,30,40,75,23,72,81,8,9
98,7460665,33,30,40,75,23,72,81,8,9
99,7622575,33,30,40,75,23,72,81,8,9
