level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
10,2139,8,8,6,10,18,0,0,0,0
11,2954,9,9,7,10,19,24,27,8,9
12,3989,10,9,8,10,20,24,27,8,9
13,5283,11,10,8,10,21,24,27,8,9
14,6877,11,10,9,11,22,32,36,8,9
15,8815,12,11,9,11,22,32,36,8,9
16,11145,13,11,10,11,23,32,36,8,9
17,13918,14,11,11,11,24,32,36,8,9
18,17188,15,12,11,11,25,32,36,8,9
19,21013,15,12,12,12,26,32,36,8,9
20,25453,16,13,12,12,27,40,45,8,9
21,30571,17,13,13,12,28,40,45,8,9
22,36434,18,13,14,12,29,40,45,8,9
23,43112,19,14,14,12,30,40,45,8,9
24,50678,19,14,15,13,31,40,45,8,9
25,59209,20,15,15,13,32,48,54,8,9
26,68784,21,15,16,13,33,48,54,8,9
27,79485,22,15,17,13,34,48,54,8,9
28,91399,23,16,17,13,35,48,54,8,9
29,104615,23,16,18,14,36,48,54,8,9
30,119225,24,17,18,14,37,48,54,8,9
31,135324,25,17,19,14,38,48,54,8,9
32,153011,26,17,20,14,39,48,54,8,9
33,172387,27,18,20,14,40,56,63,8,9
34,193558,27,18,21,15,41,56,63,8,9
35,216631,28,19,21,15,42,56,63,8,9
36,241718,29,19,22,15,43,64,72,8,9
37,268934,30,19,23,15,44,64,72,8,9
38,298396,31,20,23,15,45,64,72,8,9
39,330225,32,20,24,16,46,72,81,8,9
40,364545,32,20,24,16,48,72,81,8,9
41,401483,33,21,25,16,49,72,81,8,9
42,441169,34,21,26,16,50,72,81,8,9
43,483737,35,22,26,16,51,72,81,8,9
44,529324,36,22,27,17,52,72,81,8,9
45,578070,36,22,27,17,54,72,81,8,9
46,630118,37,23,28,17,55,72,81,8,9
47,685614,38,23,29,17,56,80,90,8,9
48,744707,39,24,29,17,57,80,90,8,9
49,807550,40,24,30,18,58,80,90,8,9
50,874300,40,24,30,18,60,80,90,8,9
51,945115,40,25,31,18,61,80,90,8,9
52,1020157,41,25,32,18,61,80,90,8,9
53,1099591,41,26,32,18,62,80,90,8,9
54,1183586,42,26,33,19,63,80,90,8,9
55,1272314,42,26,33,19,63,80,90,8,9
56,1365950,42,27,34,19,64,80,90,8,9
57,1464672,43,27,35,19,64,80,90,8,9
58,1568661,43,28,35,19,65,80,90,8,9
59,1678101,44,28,36,20,65,80,90,8,9
60,1793181,44,28,36,20,66,88,99,8,9
61,1914090,44,29,37,20,66,88,99,8,9
62,2041023,45,29,38,20,67,88,99,8,9
63,2174177,45,30,38,20,67,88,99,8,9
64,2313753,46,30,39,21,68,88,99,8,9
65,2459954,46,30,39,21,68,88,99,8,9
66,2612986,46,31,40,21,69,88,99,8,9
67,2773060,47,31,41,21,69,88,99,8,9
68,2940388,47,32,41,21,70,88,99,8,9
69,3115187,47,32,42,22,70,88,99,8,9
70,3297677,48,32,42,22,71,96,108,8,9
71,3480167,48,32,42,22,71,96,108,8,9
72,3662657,48,32,42,22,71,96,108,8,9
73,3845147,48,32,42,22,71,96,108,8,9
74,4027637,48,32,42,22,71,96,108,8,9
75,4210127,48,32,42,22,71,96,108,8,9
76,4392617,48,32,42,22,71,96,108,8,9
77,4575107,48,32,42,22,71,96,108,8,9
78,4757597,48,32,42,22,71,96,108,8,9
79,4940087,48,32,42,22,71,96,108,8,9
80,5122577,48,32,42,22,71,96,108,8,9
81,5305067,48,32,42,22,71,96,108,8,9
82,5487557,48,32,42,22,71,96,108,8,9
83,5670047,48,32,42,22,71,96,108,8,9
84,5852537,48,32,42,22,71,96,108,8,9
85,6035027,48,32,42,22,71,96,108,8,9
86,6217517,48,32,42,22,71,96,108,8,9
87,6400007,48,32,42,22,71,96,108,8,9
88,6582497,48,32,42,22,71,96,108,8,9
89,6764987,48,32,42,22,71,96,108,8,9
90,6947477,48,32,42,22,71,96,108,8,9
91,7129967,48,32,42,22,71,96,108,8,9
92,7312457,48,32,42,22,71,96,108,8,9
93,7494947,48,32,42,22,71,96,108,8,9
94,7677437,48,32,42,22,71,96,108,8,9
95,7859927,48,32,42,22,71,96,108,8,9
96,8042417,48,32,42,22,71,96,108,8,9
97,8224907,48,32,42,22,71,96,108,8,9
98,8407397,48,32,42,22,71,96,108,8,9
99,8589887,48,32,42,22,71,96,108,8,9
