level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
1,0,3,4,2,8,5,0,0,0,0
2,44,3,5,2,9,5,8,9,5,5
3,120,3,5,3,9,6,8,9,5,5
4,238,4,6,3,10,6,8,9,5,5
5,413,4,6,3,10,7,8,9,5,5
6,662,4,7,4,11,7,8,9,5,5
7,1007,5,7,4,12,8,8,9,5,5
8,1474,5,8,4,13,8,8,9,5,5
9,2091,5,8,5,14,9,8,9,5,5
10,2891,6,9,5,15,9,16,18,8,9
11,3909,6,9,5,15,10,16,18,8,9
12,5185,7,9,6,16,11,16,18,8,9
13,6763,7,10,6,17,12,16,18,8,9
14,8689,8,10,7,18,13,16,18,8,9
15,11014,8,11,7,19,14,16,18,8,9
16,13791,9,11,8,19,15,24,27,8,9
17,17078,9,11,8,20,15,24,27,8,9
18,20937,10,12,9,21,16,24,27,8,9
19,25432,10,12,9,22,17,24,27,8,9
20,30632,11,13,10,23,18,24,27,8,9
21,36608,11,13,10,23,19,24,27,8,9
22,43436,12,13,11,24,20,24,27,8,9
23,51196,13,14,11,25,21,32,36,8,9
24,59970,13,14,12,26,22,32,36,8,9
25,69845,14,15,12,27,23,32,36,8,9
26,80910,14,15,13,27,24,32,36,8,9
27,93259,15,15,13,28,24,32,36,8,9
28,106990,15,16,14,29,25,32,36,8,9
29,122203,16,16,14,30,26,32,36,8,9
30,139003,16,17,15,31,27,32,36,8,9
31,157497,17,17,15,31,28,40,45,10,11
32,177797,17,17,16,32,29,40,45,10,11
33,200019,18,18,16,33,30,40,45,10,11
34,224281,18,18,17,34,31,40,45,10,11
35,250706,19,19,17,35,32,40,45,10,11
36,279419,19,19,18,35,33,40,45,10,11
37,310550,20,19,18,36,33,40,45,10,11
38,344233,20,20,19,37,34,40,45,10,11
39,380604,21,20,19,38,35,40,45,10,11
40,419804,21,21,20,39,36,40,45,10,11
41,461976,22,21,20,39,37,48,54,10,11
42,507268,22,21,21,40,38,48,54,10,11
43,555832,23,22,21,41,39,48,54,10,11
44,607822,23,22,22,42,40,48,54,10,11
45,663397,24,23,22,43,41,56,63,10,11
46,722718,24,23,23,43,42,56,63,10,11
47,785951,25,23,23,44,42,56,63,10,11
48,853266,25,24,24,45,43,56,63,10,11
49,924835,26,24,24,46,44,56,63,10,11
50,1000835,26,25,25,47,45,56,63,10,11
51,1081445,26,25,25,47,46,64,72,10,11
52,1166849,27,25,25,48,47,64,72,10,11
53,1257235,27,26,26,49,47,64,72,10,11
54,1352793,28,26,26,50,48,64,72,10,11
55,1453718,28,27,27,51,48,64,72,10,11
56,1560207,29,27,27,51,49,64,72,10,11
57,1672462,29,27,28,52,49,64,72,10,11
58,1790689,30,28,28,53,49,64,72,10,11
59,1915096,30,28,29,54,50,64,72,10,11
60,2045896,31,29,29,55,50,64,72,10,11
61,2183304,31,29,30,55,51,72,81,10,11
62,2327540,32,29,30,56,51,72,81,10,11
63,2478828,32,30,31,57,51,72,81,10,11
64,2637394,33,30,31,58,52,72,81,10,11
65,2803469,33,31,32,59,52,72,81,10,11
66,2977286,34,31,32,59,53,72,81,10,11
67,3159083,34,31,33,60,53,72,81,10,11
68,3349102,35,32,33,61,53,72,81,10,11
69,3547587,35,32,34,62,54,72,81,10,11
70,3754787,36,33,34,63,54,80,90,10,11
71,3961987,36,33,34,63,54,80,90,10,11
72,4169187,36,33,34,63,54,80,90,10,11
73,4376387,36,33,34,63,54,80,90,10,11
74,4583587,36,33,34,63,54,80,90,10,11
75,4790787,36,33,34,63,54,80,90,10,11
76,4997987,36,33,34,63,54,80,90,10,11
77,5205187,36,33,34,63,54,80,90,10,11
78,5412387,36,33,34,63,54,80,90,10,11
79,5619587,36,33,34,63,54,80,90,10,11
80,5826787,36,33,34,63,54,80,90,10,11
81,6033987,36,33,34,63,54,80,90,10,11
82,6241187,36,33,34,63,54,80,90,10,11
83,6448387,36,33,34,63,54,80,90,10,11
84,6655587,36,33,34,63,54,80,90,10,11
85,6862787,36,33,34,63,54,80,90,10,11
86,7069987,36,33,34,63,54,80,90,10,11
87,7277187,36,33,34,63,54,80,90,10,11
88,7484387,36,33,34,63,54,80,90,10,11
89,7691587,36,33,34,63,54,80,90,10,11
90,7898787,36,33,34,63,54,80,90,10,11
91,8105987,36,33,34,63,54,80,90,10,11
92,8313187,36,33,34,63,54,80,90,10,11
93,8520387,36,33,34,63,54,80,90,10,11
94,8727587,36,33,34,63,54,80,90,10,11
95,8934787,36,33,34,63,54,80,90,10,11
96,9141987,36,33,34,63,54,80,90,10,11
97,9349187,36,33,34,63,54,80,90,10,11
98,9556387,36,33,34,63,54,80,90,10,11
99,9763587,36,33,34,63,54,80,90,10,11
