level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
20,54873,5,8,7,16,16,0,0,0,0
21,63193,4,8,6,16,16,24,27,0,0
22,72459,4,9,6,16,16,24,27,0,0
23,82748,3,9,5,16,16,24,27,0,0
24,94139,3,9,5,16,16,24,27,0,0
25,106717,2,9,4,16,16,24,27,0,0
26,120568,1,9,3,16,16,24,27,0,0
27,135783,1,10,3,16,16,24,27,0,0
28,152430,1,10,2,16,16,24,27,0,0
29,170660,1,10,1,16,16,24,27,0,0
30,190547,1,11,1,16,16,24,27,0,0
31,212195,1,11,1,16,16,24,27,0,0
32,235713,1,12,1,16,16,24,27,0,0
33,261212,1,12,1,16,16,24,27,0,0
34,288807,1,13,1,16,16,24,27,0,0
35,318617,1,13,1,16,16,24,27,0,0
36,350764,1,14,1,16,16,24,27,0,0
37,385373,1,14,1,16,16,24,27,0,0
38,422573,1,15,1,16,16,24,27,0,0
39,462497,1,15,1,16,16,24,27,0,0
40,505281,1,16,1,16,16,24,27,0,0
41,551064,1,16,1,16,16,24,27,0,0
42,599989,1,17,1,16,16,24,27,0,0
43,652202,1,17,1,17,17,24,27,0,0
44,707853,1,18,1,17,17,24,27,0,0
45,767096,1,18,1,18,18,24,27,0,0
46,830088,1,19,1,18,18,24,27,0,0
47,896989,1,19,1,19,19,24,27,0,0
48,967962,1,20,1,19,19,24,27,0,0
49,1043176,1,20,1,19,19,24,27,0,0
50,1122801,1,21,1,20,20,24,27,0,0
51,1207011,1,21,1,20,20,24,27,0,0
52,1295984,1,22,1,20,20,24,27,0,0
53,1389901,1,22,1,20,20,24,27,0,0
54,1488947,1,22,1,21,21,24,27,0,0
55,1593310,1,22,1,21,21,24,27,0,0
56,1703182,1,23,1,21,21,24,27,0,0
57,1818759,1,23,1,21,21,24,27,0,0
58,1940239,1,23,1,22,22,24,27,0,0
59,2067824,1,23,1,22,22,24,27,0,0
60,2201720,1,24,1,22,22,24,27,0,0
61,2342135,1,24,1,22,22,24,27,0,0
62,2489283,1,24,1,23,23,24,27,0,0
63,2643380,1,24,1,23,23,24,27,0,0
64,2804645,1,25,1,23,23,24,27,0,0
65,2973302,1,25,1,23,23,24,27,0,0
66,3149577,1,25,1,24,24,24,27,0,0
67,3333700,1,25,1,24,24,24,27,0,0
68,3525904,1,26,1,24,24,24,27,0,0
69,3726427,1,26,1,24,24,24,27,0,0
70,3935510,1,26,1,24,24,24,27,0,0
71,4144593,1,26,1,24,24,24,27,0,0
72,4353676,1,26,1,24,24,24,27,0,0
73,4562759,1,26,1,24,24,24,27,0,0
74,4771842,1,26,1,24,24,24,27,0,0
75,4980925,1,26,1,24,24,24,27,0,0
76,5190008,1,26,1,24,24,24,27,0,0
77,5399091,1,26,1,24,24,24,27,0,0
78,5608174,1,26,1,24,24,24,27,0,0
79,5817257,1,26,1,24,24,24,27,0,0
80,6026340,1,26,1,24,24,24,27,0,0
81,6235423,1,26,1,24,24,24,27,0,0
82,6444506,1,26,1,24,24,24,27,0,0
83,6653589,1,26,1,24,24,24,27,0,0
84,6862672,1,26,1,24,24,24,27,0,0
85,7071755,1,26,1,24,24,24,27,0,0
86,7280838,1,26,1,24,24,24,27,0,0
87,7489921,1,26,1,24,24,24,27,0,0
88,7699004,1,26,1,24,24,24,27,0,0
89,7908087,1,26,1,24,24,24,27,0,0
90,8117170,1,26,1,24,24,24,27,0,0
91,8326253,1,26,1,24,24,24,27,0,0
92,8535336,1,26,1,24,24,24,27,0,0
93,8744419,1,26,1,24,24,24,27,0,0
94,8953502,1,26,1,24,24,24,27,0,0
95,9162585,1,26,1,24,24,24,27,0,0
96,9371668,1,26,1,24,24,24,27,0,0
97,9580751,1,26,1,24,24,24,27,0,0
98,9789834,1,26,1,24,24,24,27,0,0
99,9998917,1,26,1,24,24,24,27,0,0
