level,xp,str,agi,vit,wis,will,minHpGrowth,maxHpGrowth,minMpGrowth,maxMpGrowth
10,2061,12,8,15,2,3,0,0,0,0
11,2867,13,9,16,2,3,40,45,0,0
12,3896,14,9,17,2,3,40,45,0,0
13,5186,15,10,18,2,3,48,54,0,0
14,6779,16,10,19,2,3,48,54,0,0
15,8721,17,11,20,2,3,56,63,0,0
16,11060,18,11,21,2,3,56,63,0,0
17,13849,19,12,22,2,3,64,72,0,0
18,17142,20,12,23,2,3,64,72,0,0
19,20997,21,13,24,2,3,72,81,0,0
20,25477,23,13,26,2,3,72,81,0,0
21,30645,24,14,26,2,3,72,81,0,0
22,36570,25,14,27,2,3,80,90,0,0
23,43324,26,15,28,2,3,80,90,0,0
24,50980,28,15,30,2,3,80,90,0,0
25,59617,29,16,30,2,3,88,99,0,0
26,69316,30,16,31,2,3,88,99,0,0
27,80160,31,17,32,2,3,88,99,0,0
28,92238,33,17,34,2,3,88,99,0,0
29,105640,34,18,34,2,3,88,99,0,0
30,120460,36,18,36,2,3,88,99,0,0
31,136795,37,19,36,2,3,96,108,0,0
32,154745,38,19,37,2,3,96,108,0,0
33,174414,40,19,39,2,3,104,117,0,0
34,195910,41,20,39,2,3,104,117,0,0
35,219342,43,20,41,2,3,112,126,0,0
36,244824,44,21,41,2,3,112,126,0,0
37,272472,45,21,42,2,3,120,135,0,0
38,302406,47,21,44,2,3,120,135,0,0
39,334750,48,22,44,2,3,128,144,0,0
40,369630,50,22,46,2,3,128,144,0,0
41,407175,51,23,46,2,3,128,144,0,0
42,447518,53,23,48,2,3,136,153,0,0
43,490795,54,24,48,2,3,136,153,0,0
44,537146,56,24,50,2,3,136,153,0,0
45,586713,57,25,50,2,3,144,162,0,0
46,639642,59,25,52,2,3,144,162,0,0
47,696082,60,26,52,2,3,144,162,0,0
48,756185,62,26,54,2,3,144,162,0,0
49,820107,63,27,54,2,3,144,162,0,0
50,888007,65,27,56,2,3,144,162,0,0
51,960046,66,28,56,2,3,144,162,0,0
52,1036390,68,28,58,2,3,144,162,0,0
53,1117207,69,29,58,2,3,144,162,0,0
54,1202669,71,29,60,2,3,144,162,0,0
55,1292951,72,30,60,2,3,144,162,0,0
56,1388231,74,30,62,2,3,144,162,0,0
57,1488691,75,31,62,2,3,144,162,0,0
58,1594515,77,31,64,2,3,144,162,0,0
59,1705891,78,32,64,2,3,144,162,0,0
60,1823011,80,32,66,2,3,152,171,0,0
61,1946068,81,33,67,2,3,0,0,0,0
62,2075261,82,33,68,2,3,0,0,0,0
63,2210790,83,34,69,2,3,0,0,0,0
64,2352859,84,34,70,2,3,0,0,0,0
65,2501676,85,35,71,2,3,0,0,0,0
66,2657451,86,35,72,2,3,0,0,0,0
67,2820399,87,36,73,2,3,0,0,0,0
68,2990736,88,36,74,2,3,0,0,0,0
69,3168683,89,37,75,2,3,0,0,0,0
70,3354463,90,37,76,2,3,0,0,0,0
71,3540243,90,37,76,2,3,0,0,0,0
72,3726023,90,37,76,2,3,0,0,0,0
73,3911803,90,37,76,2,3,0,0,0,0
74,4097583,90,37,76,2,3,0,0,0,0
75,4283363,90,37,76,2,3,0,0,0,0
76,4469143,90,37,76,2,3,0,0,0,0
77,4654923,90,37,76,2,3,0,0,0,0
78,4840703,90,37,76,2,3,0,0,0,0
79,5026483,90,37,76,2,3,0,0,0,0
80,5212263,90,37,76,2,3,0,0,0,0
81,5398043,90,37,76,2,3,0,0,0,0
82,5583823,90,37,76,2,3,0,0,0,0
83,5769603,90,37,76,2,3,0,0,0,0
84,5955383,90,37,76,2,3,0,0,0,0
85,6141163,90,37,76,2,3,0,0,0,0
86,6326943,90,37,76,2,3,0,0,0,0
87,6512723,90,37,76,2,3,0,0,0,0
88,6698503,90,37,76,2,3,0,0,0,0
89,6884283,90,37,76,2,3,0,0,0,0
90,7070063,90,37,76,2,3,0,0,0,0
91,7255843,90,37,76,2,3,0,0,0,0
92,7441623,90,37,76,2,3,0,0,0,0
93,7627403,90,37,76,2,3,0,0,0,0
94,7813183,90,37,76,2,3,0,0,0,0
95,7998963,90,37,76,2,3,0,0,0,0
96,8184743,90,37,76,2,3,0,0,0,0
97,8370523,90,37,76,2,3,0,0,0,0
98,8556303,90,37,76,2,3,0,0,0,0
99,8742083,90,37,76,2,3,0,0,0,0
